What is 2+2?,3,4,5,6,1
What is the capital of France?,Paris,London,Berlin,Rome,0
Which planet is known as the Red Planet?,Earth,Mars,Jupiter,Venus,1
Which gas do plants absorb from the atmosphere?,Oxygen,Nitrogen,Carbon Dioxide,Hydrogen,2
Who wrote 'Hamlet'?,Shakespeare,Dickens,Tolkien,Austen,0
Which language is primarily spoken in Brazil?,Spanish,French,Portuguese,German,2
What is the boiling point of water in Celsius?,90,95,100,105,2
Which ocean is the largest?,Atlantic,Arctic,Indian,Pacific,3
Which metal is liquid at room temperature?,Iron,Gold,Mercury,Aluminum,2
Who painted the Mona Lisa?,Van Gogh,Picasso,Da Vinci,Michelangelo,2
What is the capital of Japan?,Tokyo,Beijing,Seoul,Hanoi,0
Which country is known for the maple leaf?,USA,Canada,UK,Australia,1
What is the largest mammal?,Elephant,Hippopotamus,Blue Whale,Giraffe,2
Which continent is Egypt in?,Asia,Europe,South America,Africa,3
What is H2O?,Oxygen,Hydrogen,Water,Carbon Dioxide,2
Who discovered gravity?,Newton,Einstein,Galileo,Kepler,0
What is the square root of 81?,7,8,9,10,2
What is the fastest land animal?,Cheetah,Lion,Leopard,Horse,0
Which is not a primary color?,Red,Green,Blue,Yellow,1
Which planet has rings?,Venus,Mars,Saturn,Jupiter,2
What is the national sport of Japan?,Football,Sumo,Wrestling,Cricket,1
Who invented the telephone?,Edison,Newton,Bell,Marconi,2
Which programming language is known for web development?,Python,C,C++,JavaScript,3
Which animal is called the King of the Jungle?,Tiger,Lion,Elephant,Leopard,1
What does CPU stand for?,Central Processing Unit,Computer Power Unit,Core Processing Unit,Control Power Unit,0
How many continents are there?,5,6,7,8,2
What is the color of chlorophyll?,Blue,Red,Green,Yellow,2
What is the chemical symbol for gold?,Ag,Au,Gd,Go,1
Who wrote 'The Odyssey'?,Homer,Socrates,Plato,Aristotle,0
What is the capital of Australia?,Sydney,Melbourne,Canberra,Perth,2
Which number comes after 99?,98,100,101,97,1
Which animal is known to have 3 hearts?,Dog,Cat,Octopus,Fish,2
What is 10 squared?,10,20,100,1000,2
Which planet is closest to the sun?,Venus,Mars,Earth,Mercury,3
Who invented light bulb?,Tesla,Newton,Edison,Bell,2
What is the main gas in Earth's atmosphere?,Oxygen,Carbon Dioxide,Nitrogen,Hydrogen,2
Which ocean is on the east of Africa?,Atlantic,Pacific,Indian,Arctic,2
What is the capital of India?,Delhi,Mumbai,Kolkata,Chennai,0
Which bird is known for mimicry?,Sparrow,Nightingale,Parrot,Eagle,2
How many legs does a spider have?,6,8,10,12,1
Who discovered penicillin?,Pasteur,Fleming,Curie,Darwin,1
Which is the longest river in the world?,Nile,Amazon,Mississippi,Yangtze,0
What is the value of Pi (approx)?,2.14,3.14,4.14,5.14,1
Which planet is known for its Great Red Spot?,Earth,Venus,Saturn,Jupiter,3
Who was the first man on the moon?,Neil Armstrong,Buzz Aldrin,Yuri Gagarin,John Glenn,0
Which language has the most native speakers?,English,Hindi,Spanish,Mandarin,3
How many bones are in the adult human body?,206,210,201,216,0
What is the capital of Germany?,Vienna,Berlin,Munich,Hamburg,1
What instrument measures temperature?,Barometer,Thermometer,Hygrometer,Altimeter,1
Which part of the plant conducts photosynthesis?,Root,Stem,Leaf,Flower,2
What is 15% of 200?,25,30,35,40,1
Which is not a planet?,Sun,Mars,Neptune,Earth,0
What shape has 3 sides?,Square,Rectangle,Triangle,Circle,2
What is the hottest planet?,Mercury,Venus,Mars,Jupiter,1
Which language is spoken in Spain?,Italian,French,Portuguese,Spanish,3
How many days in a leap year?,365,366,364,367,1
Who painted Starry Night?,Picasso,Da Vinci,Van Gogh,Michelangelo,2
Which country gifted the Statue of Liberty?,England,France,Spain,Germany,1
Which vitamin do we get from sunlight?,A,B,C,D,3
Which sport uses a bat?,Tennis,Football,Cricket,Swimming,2
What is the capital of Canada?,Toronto,Montreal,Ottawa,Vancouver,2
